Intersection,Postal Code,Vehicle Traffic,Pedestrian Traffic,Average Age,Average Income,Average Number of Children Per Household,Percent of Youth
KINGSTON RD and SANDOWN AVE,M1N 1V3,22525,701,43,32282,1.112191473,14.9
KINGSTON RD and CLAREMORE AVE,M1N 1T8,20066,394,43,32282,1.112191473,14.9
KINGSTON RD and BIRCHMOUNT RD,Canada,13485,286, ,,,
KINGSTON RD and BIRCHCLIFF AVE,M1N 1S4,10312,559,43,32282,1.112191473,14.9
KINGSTON RD and WARDEN AVE,M1N 1R3,14473,700,43,32282,1.112191473,14.9
KINGSTON RD and FALLINGBROOK RD,M1N 1N3,12928,895,43,32282,1.112191473,14.9
KINGSTON RD and VICTORIA PARK AVE,M4E 1T4,14869,2506,40.1,42430,1.095512821,17.7
KINGSTON RD and BEECH AVE,M4E 3J4,11564,821,40.1,42430,1.095512821,17.7
KINGSTON RD and MAIN ST,M4E 1R3,16657,1640,40.1,42430,1.095512821,17.7
KINGSTON RD and WAVERLEY RD,M4L 1V2,12652,778,38.9,35864,1.110366168,18
KINGSTON RD and WOODBINE AVE,M4E 2H6,23556,954,40.1,42430,1.095512821,17.7
KINGSTON RD and DUNDAS ST E,M4L,11441,1020,38.9,35864,1.110366168,18
KINGSTON RD and BRIMLEY RD,M1M 1M5,21729,790,42.6,27311,1.14064603,15.5
CHURCH ST and PARK RD,M4W 2N1,10903,2212,45.3,49760,1.045380875,10.6
UNIVERSITY AVE and ARMOURY ST,M5G 1Y1,23658,7660,32.9,26802,1.073913043,7.4
BAYVIEW AVE and NESBITT DR,M4H,18084,52,34.1,18947,1.204562738,27.4
QUEEN ST E and COXWELL AVE,M4L 1G4,9821,2920,38.9,35864,1.110366168,18
BAYVIEW AVE and MOORE AVE,M4G,22923,753,41,48823,1.090981013,18.2
BAYVIEW AVE and MCRAE DR,M4G 3A7,20257,982,41,48823,1.090981013,18.2
BAYVIEW AVE and MILLWOOD RD,M4S 1K8,18168,2599,41.1,42378,1.037420382,13.3
BAYVIEW AVE and MANOR RD E,M4S 1S8,13751,2011,41.1,42378,1.037420382,13.3
AVENUE RD and EDMUND AVE,M4V 2H4,21764,702,44.9,46582,1.038848921,10.3
QUEEN ST E and RIVER ST,M5A,8869,1047,39.3,28885,1.258089976,9.8
RIVER ST and SHUTER ST,M5A 3P1,6776,718,39.3,28885,1.258089976,9.8
GERRARD ST E and RIVER ST,M5A 3R1,12274,1068,39.3,28885,1.258089976,9.8
BAYVIEW AVE and RIVER ST,M5A,11198,103,39.3,28885,1.258089976,9.8
DANFORTH AVE and SIBLEY AVE,M4C 1M5,11764,1530,39.4,27685,1.100519931,17.2
BAYVIEW AVE and BROADWAY AVE,M4G,16962,1133,41,48823,1.090981013,18.2
DUNDAS ST W and OSSINGTON AVE,M6J 1X2,11860,7315,38.9,31827,1.093990755,9.9
DUNDAS ST W and LANSDOWNE AVE,M6K 1V6,13572,2756,38.4,29348,1.172137126,8.9
DUNDAS ST W and DOVERCOURT RD,M6J 1X8,14775,3301,38.9,31827,1.093990755,9.9
DUNDAS ST W and BROCK AVE,M6K 1V1,10205,2094,38.4,29348,1.172137126,8.9
YORKLAND RD and HERONS HILL WAY,M2J 0A2,9900,840,40.3,24285,1.049421661,14.8
JANE ST and DUNDAS ST W,M6S 4A6,23158,1243,39.8,41745,1.082973621,18.1
DUNDAS ST W and RUNNYMEDE RD,M6S 2S1,18021,1280,39.8,41745,1.082973621,18.1
DUNDAS ST W and PACIFIC AVE,M6P 1Y8,9675,2789,39.7,34539,1.043434848,13.4
DUNDAS ST W and KEELE ST,M6P 1Y7,19464,4643,39.7,34539,1.043434848,13.4
BAYVIEW AVE and POST RD,M2L,27993,564,42.6,37388,1.125153374,14.8
DUFFERIN ST and DUNDAS ST W,M6J 1Y6,14442,5244,38.9,31827,1.093990755,9.9
EGLINTON AVE E and BELLAMY RD N,M1J 2K9,15975,1508,38.1,22985,1.263093788,19.6
EGLINTON AVE E and MCCOWAN RD,M1J,18352,987,38.1,22985,1.263093788,19.6
BAY ST and GROSVENOR ST,M4Y 3G5,11998,6448,39.1,32839,0.966371681,4.4
ST CLAIR AVE W and EARLSCOURT AVE,M6E,7138,1178,41.3,25364,1.105022831,14
DIXON RD and CITY VIEW DR,M9W,21314,484,39.6,24616,1.203563306,16.2
DUNDAS ST W and BATHURST ST,M5T 2S3,15414,10194,40.3,19920,1.240282686,7.4
GERRARD ST E and SACKVILLE ST,M5A 2G7,9592,2707,39.3,28885,1.258089976,9.8
SIMCOE ST and ADELAIDE ST W,M5V 0H5,7279,6248,34.2,45581,0.990990991,5.1
KING ST W and SIMCOE ST,M5H 3X6,8437,25628,35.8,48171,0.872340426,4
BAYVIEW AVE and BLYTHWOOD RD,M4N,24828,765,42.1,51429,1.100719424,17.4
KING ST W and BATHURST ST,M5V 2P9,15478,7878,34.2,45581,0.990990991,5.1
VICTORIA PARK AVE and CRAIGTON DR,M1L,23584,1515,38.3,23496,1.151958674,18.6
LAKE SHORE BLVD E and LOWER SHERBOURNE ST,M5A 3Y4,13327,952,39.3,28885,1.258089976,9.8
HARBOUR ST and YORK ST,M5J 1B7,13737,2168,38.5,47669,0.912935323,6.2
LAKE SHORE BLVD W and YORK ST,M5J,24814,7285,38.5,47669,0.912935323,6.2
LAKE SHORE BLVD E and LESLIE ST,M4M,27371,764,39.7,32114,1.123754153,13.9
LAKE SHORE BLVD E and CARLAW AVE,M4M 1B2,31363,624,39.7,32114,1.123754153,13.9
LAKE SHORE BLVD E and DON ROADWAY,M4M,10974,41,39.7,32114,1.123754153,13.9
LAKE SHORE BLVD E and PARLIAMENT ST,M5A,15771,601,39.3,28885,1.258089976,9.8
LAKE SHORE BLVD E and LOWER JARVIS ST,M5E 1Z2,22735,1895,40,50850,0.930348259,5.3
YONGE ST and LAKE SHORE BLVD W,M5E,10520,2020,40,50850,0.930348259,5.3
LAKE SHORE BLVD W and BAY ST,M5J,17008,13149,38.5,47669,0.912935323,6.2
BAY ST and HARBOUR ST,M5J,18261,7776,38.5,47669,0.912935323,6.2
ADELAIDE ST E and PARLIAMENT ST,M5A 2Y9,9398,685,39.3,28885,1.258089976,9.8
LAKE SHORE BLVD W and SPADINA AVE,Canada,24526,854, ,,,
LAKE SHORE BLVD W and FLEET ST,M5V,26327,2277,34.2,45581,0.990990991,5.1
EGLINTON AVE E and FALMOUTH AVE,M1K,20253,1345,39.9,23092,1.198367859,17
LAKE SHORE BLVD W and BURLINGTON ST,M8V 1A8,8502,1159,42.4,32182,1.095571096,11.4
CHAPLIN CRES and ROSELAWN AVE,M5N 1K9,8121,751,39.8,40021,1.115646259,18.5
EGLINTON AVE E and FORMAN AVE,M4P 1L8,14649,872,40.8,36334,1.064850843,9.6
LAKE SHORE BLVD W and STADIUM RD,M5V,21335,717,34.2,45581,0.990990991,5.1
LAKE SHORE BLVD W and STRACHAN AVE,M5V,25571,163,34.2,45581,0.990990991,5.1
RICHMOND ST E and PARLIAMENT ST,M5A 2Y8,14745,1642,39.3,28885,1.258089976,9.8
LAKE SHORE BLVD W and JAMESON AVE,M6K,10490,252,38.4,29348,1.172137126,8.9
CHURCH ST and CHARLES ST E,M7A 1G6,10905,3660, ,,,
LAKE SHORE BLVD W and PARKSIDE DR,M6K,30083,301,38.4,29348,1.172137126,8.9
QUEENS PARK and QUEENS PARK CRES W,M5S,18591,4063,39,26269,1.028423773,5.6
LAKE SHORE BLVD W and ELLIS AVE,M6S,34804,176,39.8,41745,1.082973621,18.1
LAKE SHORE BLVD W and WINDERMERE AVE,M6S,37009,263,39.8,41745,1.082973621,18.1
LAKE SHORE BLVD W and PARK LAWN RD,M8V,18994,1636,42.4,32182,1.095571096,11.4
LAKE SHORE BLVD W and SUPERIOR AVE,M8V 1B7,8705,2785,42.4,32182,1.095571096,11.4
LAKE SHORE BLVD W and MIMICO AVE,M8V 1C5,7610,2022,42.4,32182,1.095571096,11.4
LAKE SHORE BLVD W and ROYAL YORK RD,M8V 1G4,7179,400,42.4,32182,1.095571096,11.4
LAKE SHORE BLVD W and THIRD ST,M8V,7960,1409,42.4,32182,1.095571096,11.4
JANE ST and 400 S JANE ST RAMP,M6S 3Z5,26623,186,39.8,41745,1.082973621,18.1
LAKE SHORE BLVD W and TENTH ST,M8V 4C7,7847,1503,42.4,32182,1.095571096,11.4
LAKE SHORE BLVD W and KIPLING AVE,M8V 1L5,16881,1076,42.4,32182,1.095571096,11.4
LAKE SHORE BLVD W and TWENTY SECOND ST,M8V 1L9,15944,2967,42.4,32182,1.095571096,11.4
LAKE SHORE BLVD W and THIRTIETH ST,M8W 1N4,11260,638,42,32450,1.105901374,14
LAKE SHORE BLVD W and LONG BRANCH AVE,M8W 1N6,11202,786,42,32450,1.105901374,14
LAKE SHORE BLVD W and THIRTY SEVENTH ST,M8W 1N6,13675,1763,42,32450,1.105901374,14
LAKE SHORE BLVD W and BROWNS LINE,M8W,12072,987,42,32450,1.105901374,14
LAKE SHORE BLVD W and BROW DR,M8W 3P6,10946,280,42,32450,1.105901374,14
PARLIAMENT ST and FRONT ST E,M5A 0B2,14319,1680,39.3,28885,1.258089976,9.8
KING ST E and PARLIAMENT ST,M5A 3Y7,10781,2650,39.3,28885,1.258089976,9.8
QUEEN ST E and PARLIAMENT ST,M5A 1S9,10563,4769,39.3,28885,1.258089976,9.8
PARLIAMENT ST and SHUTER ST,M5A 1W6,8907,2584,39.3,28885,1.258089976,9.8
DUNDAS ST E and PARLIAMENT ST,M5A 2B1,11666,6698,39.3,28885,1.258089976,9.8
PARLIAMENT ST and GERRARD ST E,M5A 2Z7,13840,4702,39.3,28885,1.258089976,9.8
PARLIAMENT ST and CARLTON ST,M5A 2L3,8226,7385,39.3,28885,1.258089976,9.8
PARLIAMENT ST and WELLESLEY ST E,M4X 1P9,12878,4674,39.7,22486,1.193979933,12.7
BLOOR ST E and PARLIAMENT ST,M4X,17264,481,39.7,22486,1.193979933,12.7
SHERBOURNE ST and FRONT ST E,M5A 1E7,13597,4256,39.3,28885,1.258089976,9.8
KING ST E and SHERBOURNE ST,M5A 1J9,10293,4473,39.3,28885,1.258089976,9.8
SHERBOURNE ST and ADELAIDE ST E,M5A 1N3,11996,5275,39.3,28885,1.258089976,9.8
SHERBOURNE ST and RICHMOND ST E,M5A 4S8,14364,5606,39.3,28885,1.258089976,9.8
QUEEN ST E and SHERBOURNE ST,M5A 1S4,11522,4268,39.3,28885,1.258089976,9.8
DUNDAS ST E and SHERBOURNE ST,M5A 2R9,11697,5541,39.3,28885,1.258089976,9.8
SHERBOURNE ST and GERRARD ST E,M5A 2R9,15254,2040,39.3,28885,1.258089976,9.8
SHERBOURNE ST and CARLTON ST,M5A 4K2,8143,4328,39.3,28885,1.258089976,9.8
SHERBOURNE ST and WELLESLEY ST E,M5A 4K2,13302,4262,39.3,28885,1.258089976,9.8
BLOOR ST E and SHERBOURNE ST,M4W,15339,6308,45.3,49760,1.045380875,10.6
FRONT ST W and SIMCOE ST,M5J 1G2,11290,31351,38.5,47669,0.912935323,6.2
SIMCOE ST and WELLINGTON ST W,M5J 1J1,9034,17868,38.5,47669,0.912935323,6.2
DUNDAS ST W and MC CAUL ST,M5T 1W2,10100,11071,40.3,19920,1.240282686,7.4
DUNDAS ST W and BEVERLEY ST,M5T 1G4,11610,4911,40.3,19920,1.240282686,7.4
RICHMOND ST W and DUNCAN ST,M5V 0H5,8831,5417,34.2,45581,0.990990991,5.1
